room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude
Private room,Newham,Beckton,1,0,1,1,32,51.508984,0.068699
Private room,Greenwich,Thamesmead Moorings,1,0,2,1,37,51.503742,0.114239
Private room,Tower Hamlets,Island Gardens,1,0,2,1,38,51.491339,-0.006865
Private room,Tower Hamlets,Lansbury,3,4,2,1,40,51.51186,-0.005943
Private room,Greenwich,Charlton,0,0,1,1,22,51.486309,0.032803
Private room,Greenwich,Woolwich Common,2,0,1,1,34,51.482544,0.070777
Private room,Greenwich,Woolwich Riverside,0,0,2,1,38,51.494404,0.069136
Private room,Greenwich,Shooters Hill,9,5,1,1,29,51.468447,0.06676
Private room,Greenwich,Woolwich Riverside,0,0,1,1,40,51.492205,0.065317
Private room,Greenwich,Charlton,8,4,1,1,31,51.486449,0.033534
Private room,Newham,Canning Town South,0,0,1,1,38,51.515037,0.01824
Private room,Newham,Canning Town South,0,0,2,1,26,51.518799,0.019765
Private room,Tower Hamlets,Blackwall & Cubitt Town,12,4.5,2,1,39,51.492175,-0.005693
Private room,Greenwich,Peninsula,5,5,2,1,36,51.491184,0.010437
Private room,Tower Hamlets,Island Gardens,3,4,2,1,32,51.489415,-0.00509
Private room,Greenwich,Charlton,0,0,2,1,38,51.485897,0.033178
Private room,Greenwich,Peninsula,2,0,2,1,24,51.488316,0.022233
Private room,Greenwich,Glyndon,1,0,2,1,32,51.482908,0.079929
Private room,Greenwich,Blackheath Westcombe,0,0,1,1,31,51.479063,0.015526
Private room,Greenwich,Plumstead,1,0,1,1,32,51.48468,0.099911
Private room,Greenwich,Charlton,0,0,1,1,27,51.485951,0.028664
Private room,Tower Hamlets,Island Gardens,0,0,2,2,26,51.490673,-0.004991
Private room,Greenwich,Charlton,0,0,1,5,11,51.48483,0.028611
Private room,Greenwich,Thamesmead Moorings,0,0,2,1,38,51.499412,0.087912
Private room,Greenwich,Shooters Hill,13,5,1,1,29,51.468682,0.06628
Private room,Greenwich,Eltham North,31,4.5,1,1,27,51.465761,0.057173
Private room,Greenwich,Charlton,0,0,1,1,22,51.487063,0.033234
Private room,Tower Hamlets,Blackwall & Cubitt Town,0,0,1,1,34,51.494349,-0.006263
Private room,Tower Hamlets,Blackwall & Cubitt Town,0,0,2,1,32,51.494231,-0.006168
Private room,Tower Hamlets,Blackwall & Cubitt Town,65,4.5,2,1,39,51.493815,-0.007618
Private room,Newham,Royal Docks,6,5,1,1,38,51.505945,0.072806
Private room,Tower Hamlets,Poplar,25,4.5,2,1,38,51.508376,-0.010715
Private room,Greenwich,Shooters Hill,1,0,1,1,38,51.473821,0.066588
Private room,Newham,Royal Docks,13,4,2,1,38,51.503827,0.026943
Private room,Greenwich,Peninsula,2,0,2,1,38,51.486343,0.012656
Private room,Newham,Canning Town South,0,0,1,1,24,51.518788,0.017679
Private room,Tower Hamlets,Blackwall & Cubitt Town,0,0,2,1,39,51.499586,-0.007327
Private room,Tower Hamlets,Blackwall & Cubitt Town,0,0,2,1,32,51.506112,-0.008007
Private room,Tower Hamlets,Island Gardens,14,4.5,2,1,32,51.488113,-0.007485
Private room,Tower Hamlets,Island Gardens,20,5,1,1,32,51.490406,-0.004011
Private room,Newham,Custom House,2,0,1,1,40,51.511928,0.042975
Private room,Greenwich,Peninsula,2,0,2,1,37,51.496883,0.014205
Private room,Greenwich,Peninsula,0,0,1,1,37,51.492751,0.014799
Private room,Greenwich,Kidbrooke with Hornfair,15,4.5,1,1,38,51.476501,0.039301
Private room,Greenwich,Peninsula,0,0,2,1,32,51.487287,0.006816
Private room,Greenwich,Kidbrooke with Hornfair,1,0,2,1,34,51.469624,0.045262
Private room,Newham,Custom House,28,4,4,1,28,51.512612,0.035885
Private room,Tower Hamlets,Blackwall & Cubitt Town,45,3.5,2,1,38,51.498832,-0.010494
Private room,Greenwich,Peninsula,56,4.5,2,1,37,51.495673,0.016001
Private room,Tower Hamlets,Weavers,0,0,2,1,39,51.530136,-0.072563
Private room,Tower Hamlets,Bow West,2,0,1,1,36,51.529143,-0.036138
Private room,Tower Hamlets,Stepney Green,15,4,2,1,38,51.51575,-0.047404
Private room,Tower Hamlets,St. Peter's,14,4,2,1,38,51.528237,-0.059502
Private room,Tower Hamlets,St. Peter's,0,0,1,1,32,51.528404,-0.059651
Private room,Tower Hamlets,St. Dunstan's,19,4.5,1,1,32,51.518903,-0.04498
Private room,Tower Hamlets,Bethnal Green,2,0,3,1,40,51.530412,-0.044721
Private room,Tower Hamlets,St. Peter's,6,4,2,1,38,51.528641,-0.060057
Private room,Tower Hamlets,Spitalfields & Banglatown,3,4.5,1,1,38,51.520472,-0.065278
Private room,Tower Hamlets,Bethnal Green,3,4,2,1,26,51.529137,-0.04469
Private room,Tower Hamlets,Bow East,0,0,1,1,32,51.533705,-0.029916
Private room,Tower Hamlets,Bethnal Green,97,5,2,1,37,51.531486,-0.043745
Private room,Tower Hamlets,Whitechapel,0,0,1,0,26,51.513429,-0.068814
Private room,Tower Hamlets,Shadwell,13,4,3,1,34,51.51259,-0.049352
Private room,Tower Hamlets,Shadwell,32,4,1,1,26,51.512028,-0.049391
Private room,Tower Hamlets,Stepney Green,0,0,2,1,27,51.518374,-0.053359
Private room,Tower Hamlets,Spitalfields & Banglatown,1,0,2,1,26,51.520413,-0.06142
Private room,Hackney,London Fields,13,4.5,2,1,32,51.541407,-0.06253
Private room,Tower Hamlets,St. Peter's,21,5,2,1,34,51.530973,-0.056451
Private room,Tower Hamlets,St. Dunstan's,14,4.5,2,1,38,51.519097,-0.042866
Private room,Tower Hamlets,Whitechapel,1,0,2,1,37,51.512653,-0.067353
Private room,Camden,Bloomsbury,11,4,1,1,26,51.519501,-0.135778
Private room,Lewisham,Lewisham Central,2,0,2,1,38,51.458094,-0.015982
Private room,Lewisham,Lewisham Central,4,4.5,2,1,36,51.464295,-0.016167
Private room,Lewisham,Blackheath,0,0,2,1,38,51.458893,-0.000549
Private room,Lewisham,Blackheath,1,0,2,1,32,51.464064,-0.006417
Private room,Lewisham,Lewisham Central,0,0,1,1,38,51.467103,-0.012725
Private room,Lewisham,Blackheath,0,0,2,1,28,51.465526,-0.007011
Private room,Tower Hamlets,Island Gardens,23,5,1,1,38,51.491085,-0.018704
Private room,Greenwich,Greenwich West,1,0,2,1,29,51.480493,-0.015148
Private room,Newham,Custom House,0,0,1,1,38,51.51232,0.036118
Private room,Greenwich,Charlton,0,0,1,1,34,51.487186,0.036378
Private room,Greenwich,Charlton,9,5,2,1,38,51.482215,0.029335
Private room,Lewisham,Lewisham Central,4,5,2,1,38,51.456512,-0.01001
Private room,Lewisham,Blackheath,19,5,2,1,34,51.46557,-0.007657
Private room,Lewisham,Lewisham Central,1,0,2,1,38,51.457315,-0.017131
Private room,Lewisham,Lewisham Central,8,5,2,1,39,51.462638,-0.015046
Private room,Lewisham,Lewisham Central,76,4.5,2,1,26,51.461379,-0.001924
Private room,Lewisham,Blackheath,3,5,2,1,39,51.463133,0.005851
Private room,Lewisham,Blackheath,1,0,2,1,38,51.465349,-0.005865
Private room,Lewisham,Lewisham Central,4,5,2,1,38,51.456495,-0.015548
Private room,Lewisham,Lewisham Central,0,0,2,1,38,51.462621,-0.011482
Private room,Greenwich,Greenwich West,1,0,1,1,32,51.472188,-0.017727
Private room,Greenwich,Greenwich West,89,4.5,3,1,38,51.475036,-0.017094
Private room,Lewisham,Blackheath,2,0,1,1,32,51.468491,-0.012587
Private room,Lewisham,Blackheath,2,0,2,1,26,51.463795,-0.00528
Private room,Lewisham,Lewisham Central,99,5,2,1,37,51.462065,-0.00689
Private room,Lewisham,Lee Green,9,4.5,2,1,34,51.455918,0.001067
Private room,Tower Hamlets,Blackwall & Cubitt Town,5,4,1,1,22,51.496288,-0.010006
Private room,Tower Hamlets,Blackwall & Cubitt Town,0,0,1,1,29,51.498513,-0.011897
Private room,Tower Hamlets,Island Gardens,6,5,2,1,40,51.487788,-0.014524
Private room,Greenwich,Eltham West,1,0,2,1,36,51.457703,0.030103
Private room,Greenwich,Eltham North,17,5,2,1,38,51.467584,0.056957
